Winery,Type,Wine_Name,Quantity
Pearmund Cellars,WINE FLIGHT,2019 Chardonnay,86
Pearmund Cellars,WINE FLIGHT,2020 Viognier,83
Pearmund Cellars,WINE FLIGHT,2021 Rose,80
Pearmund Cellars,WINE FLIGHT,2021 Petit Manseng,77
Pearmund Cellars,WINE FLIGHT,2019 Ameritage,72
Pearmund Cellars,WINE FLIGHT,2019 Riesling,64
Pearmund Cellars,WINE FLIGHT,2022 Sunshine,54
Pearmund Cellars,WINE FLIGHT,2019 Cab Franc,50
Pearmund Cellars,WINE FLIGHT,2020 Petit Verdot,38
Pearmund Cellars,WINE FLIGHT Reserve, 7th Mission Black Ops,115
Pearmund Cellars,WINE FLIGHT Reserve,2019 Anniversary Wine,109
Pearmund Cellars,WINE FLIGHT Reserve,2019 Cab Franc Reserve,52
Pearmund Cellars,WINE FLIGHT Reserve,2020 Ameritage Reserve,60
Pearmund Cellars,WINE FLIGHT Reserve,2020 PV Reserve,55
Pearmund Cellars,WINE FLIGHT Reserve,Cab Sauv,99
Pearmund Cellars,Glass of Wine,2019 Chardonnay,39
Pearmund Cellars,Glass of Wine,Petit Manseng,26
Pearmund Cellars,Glass of Wine,2020 Viognier,24
Pearmund Cellars,Glass of Wine,2022 Sunshine,20
Pearmund Cellars,Glass of Wine,2019 Ameritage,17
Pearmund Cellars,Glass of Wine,2019 Riesling,16
Pearmund Cellars,Glass of Wine,2019 Cab Franc,14
Pearmund Cellars,Glass of Wine,2021 Rose,14
Pearmund Cellars,Glass of Wine,2020 Petit Verdot,7
Pearmund Cellars,Glass of Reserve, 7th Missio Black Ops,27
Pearmund Cellars,Glass of Reserve,2019 Anniversary Wine,23
Pearmund Cellars,Glass of Reserve,2019 Cab Franc Reserve,17
Pearmund Cellars,Glass of Reserve,2020 Ameritage Reserve,8
Pearmund Cellars,Glass of Reserve,2020 PV Reserve,11
Pearmund Cellars,Glass of Reserve,Cab Sauv,16
Pearmund Cellars,Reserve Trio,7th Missio Black Ops ,34
Pearmund Cellars,Reserve Trio,2019 Anniversary Wine,24
Pearmund Cellars,Reserve Trio,2020 Ameritage Reserve,20
Pearmund Cellars,Reserve Trio,2019 Cab Sauv Reserve ,20
Pearmund Cellars,Reserve Trio,2019 Cab Franc Reserve ,17
Pearmund Cellars,Reserve Trio,2020 PV Reserve,16
Pearmund Cellars,TASTING,TASTING $18,136
Effingham Manor,Glass of Wine,2019 Chardonnay,40
Effingham Manor,Glass of Wine,2022 Celebration,51
Effingham Manor,Glass of Wine,Mulled wine,114
Effingham Manor,Glass of Wine,2022 Petit Manseng,43
Effingham Manor,Glass of Wine,2019 Meritage,34
Effingham Manor,Glass of Wine, 2021 Rose,29
Effingham Manor,Glass of Wine,2019 Merlot,19
Effingham Manor,Glass of Wine,2020 Viognier,15
Effingham Manor,Glass of Wine,2019 Snort,6
Effingham Manor,WINE FLIGHT Reserve,2020 Reserve,69
Effingham Manor,WINE FLIGHT Reserve,2020 Kings Ransom,60
Effingham Manor,WINE FLIGHT,2022 Petit Manseng,53
Effingham Manor,WINE FLIGHT,2022 Celebration,49
Effingham Manor,WINE FLIGHT, 2021 Rose,47
Effingham Manor,WINE FLIGHT Reserve,2020 Petit Verdot,43
Effingham Manor,WINE FLIGHT,2019 Meritage,42
Effingham Manor,WINE FLIGHT Reserve,2020 Tannat,39
Effingham Manor,WINE FLIGHT,2019 Chardonnay,36
Effingham Manor,WINE FLIGHT,2020 Viognier,32
Effingham Manor,WINE FLIGHT,2019 Snort,14
Effingham Manor,WINE FLIGHT,Mulled wine,4
Effingham Manor,WINE FLIGHT,2019  Merlot,29
Effingham Manor,Glass of Reserve,2020 Kings Ransom,66
Effingham Manor,Glass of Reserve,2020 Reserve,31
Effingham Manor,Glass of Reserve,2020 Petit Verdot,29
Effingham Manor,Glass of Reserve,2020 Tannat,26
Effingham Manor,TASTING,Wine Tasting,142